prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
44,325443009,4916699,66163020,Prednisolone 5mg gastro-resistant tablets,Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),9-Feb
95,325427002,5749563,59234020,Prednisolone 5mg tablets,Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),9-Feb
955,325444003,580806,74386020,Prednisolone 5mg soluble tablets,Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),9-Feb
1063,2.57E+16,57301,51216020,Prednesol 5mg Tablet (Sovereign Medical Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
2704,325450008,210980,66162020,Prednisolone 25mg tablets,Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),9-Feb
2799,1.36E+17,470,4507007,PREDNISOLONE 10 MG TAB,,,,,0,Unknown,9-Feb
3059,1.10E+17,316,3590007,PREDNISOLONE 50 MG TAB,,,,,0,Unknown,9-Feb
5490,3.31E+14,123220,53820020,Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),9-Feb
7710,1.10E+17,2005,3588007,PREDNISOLONE 15 MG TAB,,,,,0,Unknown,9-Feb
9727,325445002,247,71490020,Prednisolone 50mg tablets,Prednisolone,50mg,Tablet,Oral,0,Unknown,9-Feb
19141,3.93E+14,4786,61726020,Prednisolone 5mg soluble tablets (Advanz Pharma),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),9-Feb
20095,7.99E+16,441,58192020,Precortisyl forte 25mg Tablet (Aventis Pharma),Prednisolone,25mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
